Unnamed: 0.1,date,open,high,low,close,volume,adjclose
166,1999-12-29,85.5,88.1875,85.375,88.0,794800,69.64840698242189
167,1999-12-30,90.0,92.875,89.5625,92.1875,969200,72.96266174316406
168,1999-12-31,91.9375,94.8125,91.5,94.1875,383500,74.54560089111328
169,2000-01-03,94.1875,94.375,87.75,88.3125,1822600,69.89576721191406
170,2000-01-04,87.0,87.5,82.25,82.75,1647700,65.49325561523439
171,2000-01-05,80.875,81.875,78.375,78.875,1516600,62.42634201049805
172,2000-01-06,78.625,84.5,78.625,82.25,1845100,65.09754180908203
173,2000-01-07,83.0625,83.1875,79.875,82.5625,1127400,65.3448486328125
174,2000-01-10,81.75,84.875,81.75,84.375,803100,66.77936553955078
175,2000-01-11,85.0,86.25,84.5625,84.8125,808600,67.12563323974611
176,2000-01-12,84.125,86.0,83.375,84.375,916100,66.77936553955078
177,2000-01-13,85.125,85.125,82.875,84.5,711000,66.8782958984375
178,2000-01-14,85.5,86.9375,85.3125,85.625,607000,67.76870727539061
179,2000-01-18,85.0,89.125,84.75,86.875,1095700,68.75804138183594
180,2000-01-19,86.875,89.375,86.75,87.5625,636900,69.3021240234375
181,2000-01-20,87.0,87.9375,84.875,85.9375,621800,68.10938262939453
182,2000-01-21,86.1875,86.1875,84.5625,85.6875,542500,67.91122436523439
183,2000-01-24,87.5,87.5,81.5,81.75,712900,64.79061126708984
184,2000-01-25,83.0,84.1875,82.375,83.875,749300,66.47474670410156
185,2000-01-26,84.125,88.5,84.125,88.25,1086600,69.94215393066406
186,2000-01-27,88.25,89.9375,87.625,89.0,702000,70.53655242919922
187,2000-01-28,87.5,88.0,86.125,87.0,776800,68.95146942138672
188,2000-01-31,87.0,91.6875,86.5,91.625,801800,72.61698150634766
189,2000-02-01,92.875,93.0,90.5,91.25,813100,72.31977081298828
190,2000-02-02,90.75,91.625,88.625,91.125,964700,72.2207260131836
191,2000-02-03,90.0,91.125,84.8125,85.375,2213300,67.66358947753906
192,2000-02-04,87.25,87.25,83.5625,84.6875,1451700,67.11869049072266
193,2000-02-07,84.4375,86.5,83.5,85.75,929800,67.96080017089844
194,2000-02-08,85.75,89.625,85.75,89.4375,1024800,70.88331604003906
195,2000-02-09,89.4375,89.4375,86.5625,86.75,397100,68.75334167480469
196,2000-02-10,86.75,87.3125,85.5,86.625,503200,68.65425109863281
197,2000-02-11,86.4375,88.75,85.0,85.125,856900,67.46544647216797
198,2000-02-14,85.125,86.875,84.625,86.5,627800,68.55517578125
199,2000-02-15,86.25,86.625,85.125,86.5,542400,68.55517578125
200,2000-02-16,86.75,87.3125,82.875,82.9375,720300,65.73174285888672
201,2000-02-17,84.75,84.75,81.125,82.125,895500,65.08782958984375
202,2000-02-18,84.5,84.5,80.75,80.8125,925500,64.047607421875
203,2000-02-22,81.25,82.375,80.6875,81.5625,720100,64.64200592041016
204,2000-02-23,81.3125,87.0,81.0625,85.75,702900,67.96080017089844
205,2000-02-24,85.8125,89.9375,85.5,89.625,1199800,71.0318832397461
206,2000-02-25,89.4375,94.0,88.25,89.25,1333000,70.73467254638672
207,2000-02-28,89.25,89.25,87.0,88.0,518000,69.74398803710939
208,2000-02-29,88.75,92.5,88.0,92.5,1381200,73.31046295166016
209,2000-03-01,93.25,96.75,93.1875,94.75,1488900,75.09370422363281
210,2000-03-02,95.25,97.875,94.125,96.25,1819200,76.28250122070312
211,2000-03-03,97.0,102.5,96.75,102.5,2295900,81.23590087890625
212,2000-03-06,102.75,105.25,102.375,103.6875,1421000,82.17707061767578
213,2000-03-07,103.9375,105.75,102.4375,104.875,1041300,83.11822509765625
214,2000-03-08,105.0,105.375,99.6875,101.75,1041100,80.6414794921875
215,2000-03-09,101.75,108.1875,101.25,107.1875,535500,84.95096588134766
216,2000-03-10,109.75,119.0,108.5,112.25,2034400,88.96321105957031
217,2000-03-13,107.5,115.5,106.5,110.375,1454200,87.47721099853516
218,2000-03-14,111.5,112.875,103.5,104.75,653100,83.01914978027344
219,2000-03-15,102.5,105.5,101.375,103.5625,700300,82.0779800415039
220,2000-03-16,103.875,105.0,99.25,103.3125,2024800,81.8798828125
221,2000-03-17,104.125,117.375,103.25,116.5,2099400,92.33155822753906
222,2000-03-20,117.625,123.0,112.5625,113.4375,2254000,89.90438842773438
223,2000-03-21,111.0,119.8125,106.5,118.25,2692800,93.71851348876952
224,2000-03-22,114.875,117.9375,114.8125,117.15625,1258900,92.8516616821289
225,2000-03-23,116.5,119.0,115.125,119.0,1656900,94.3129425048828
226,2000-03-24,119.0,128.0,117.6875,121.3125,1934400,96.14567565917969
227,2000-03-27,118.25,119.375,111.75,112.0,1315000,88.76510620117188
228,2000-03-28,109.5,115.5,108.5,113.25,1649400,89.75579071044922
229,2000-03-29,114.0,116.125,110.75,114.1875,754300,90.49876403808594
230,2000-03-30,112.625,115.0,105.125,106.875,1241200,84.70329284667969
231,2000-03-31,108.0,111.875,103.3125,105.25,1693300,83.41541290283203
232,2000-04-03,108.75,110.8125,105.5,105.5,1789500,83.61355590820312
233,2000-04-04,106.0,106.25,91.125,98.25,3739600,77.86760711669922
234,2000-04-05,97.5,99.625,93.5,97.4375,3238700,77.2236557006836
235,2000-04-06,101.0,106.0,100.0,106.0,1675700,84.00983428955078
236,2000-04-07,106.25,107.25,101.1875,102.5,1373500,81.23590087890625
237,2000-04-10,104.0,109.125,103.5625,107.0625,1749900,84.8519058227539
238,2000-04-11,107.125,108.3125,104.3125,104.8125,1147200,83.06869506835938
239,2000-04-12,106.5,107.25,96.5,96.5625,2598500,76.53018188476562
240,2000-04-13,96.75,98.125,92.3125,95.25,3377700,75.48995971679688
241,2000-04-14,92.75,92.75,79.4375,82.75,4855800,65.5831298828125
242,2000-04-17,81.75,87.75,81.0,87.5,3489600,69.34770965576172
243,2000-04-18,87.5,94.9375,86.875,93.75,2191500,74.3011474609375
244,2000-04-19,93.4375,93.5,89.625,92.0625,1390200,73.05724334716797
245,2000-04-20,91.8125,91.8125,88.0,88.8125,1061100,70.47816467285156
246,2000-04-24,88.8125,91.5,84.625,86.875,1764300,68.94064331054689
247,2000-04-25,88.625,97.875,87.5,97.0625,1341500,77.02503967285156
248,2000-04-26,97.5625,99.125,94.0,94.5,1626100,74.9915542602539
249,2000-04-27,91.5,96.25,90.375,95.1875,1772400,75.5371322631836
250,2000-04-28,96.25,97.5,90.875,93.25,1145600,73.99955749511719
251,2000-05-01,93.25,101.625,93.25,97.0,2319300,76.97542572021484
252,2000-05-02,95.0,97.625,92.5,93.0,1666500,73.80119323730469
253,2000-05-03,92.25,95.75,89.6875,91.125,1931000,72.31328582763672
254,2000-05-04,91.375,92.0,88.125,90.1875,920700,71.56932830810547
255,2000-05-05,89.375,92.1875,87.4375,89.875,1378100,71.32135009765625
256,2000-05-08,86.0,87.875,85.75,87.3125,2817000,69.28784942626953
257,2000-05-09,86.0,87.0,84.75,85.625,1739100,67.94869232177734
258,2000-05-10,83.0,83.6875,80.5625,81.4375,2340600,64.62562561035156
259,2000-05-11,81.5,83.25,80.4375,80.875,2276000,64.17925262451172
260,2000-05-12,80.25,84.875,80.25,83.78125,1911200,66.48557281494139
261,2000-05-15,83.8125,88.0,83.8125,87.0625,1668900,69.08943176269531
262,2000-05-16,88.0,89.25,84.0,85.5,2538400,67.84950256347656
263,2000-05-17,85.125,86.0,83.0,84.6875,1231000,67.2047119140625
264,2000-05-18,83.875,87.5,83.875,85.25,1493000,67.65111541748047
265,2000-05-19,84.25,85.0,82.125,84.5625,1537500,67.10555267333984
266,2000-05-22,83.5,83.875,80.625,82.0,1345600,65.07199859619139
267,2000-05-23,81.875,85.5,81.5,82.8125,1203900,65.71678924560547
268,2000-05-24,82.625,83.625,79.5,80.0,1530200,63.48491668701172
269,2000-05-25,80.5,83.375,71.9375,73.0,4030100,57.92998886108398
270,2000-05-26,73.125,73.375,69.375,69.8125,2378100,55.40049362182617
271,2000-05-30,71.5,73.4375,70.625,72.0,2205300,57.13640975952149
272,2000-05-31,72.0,74.875,71.125,73.5625,1363800,58.3763542175293
273,2000-06-01,74.5625,77.6875,73.625,76.375,1684900,60.6082763671875
274,2000-06-02,84.5,87.25,83.5,86.875,3567900,68.94064331054689
275,2000-06-05,86.875,87.875,84.5,84.5,1576600,67.05591583251953
276,2000-06-06,84.0,85.125,81.75,83.125,1033200,65.96480560302734
277,2000-06-07,82.875,88.0,82.375,86.6875,1319900,68.79183197021484
278,2000-06-08,86.875,87.625,85.0625,85.0625,1255000,67.50228118896484
279,2000-06-09,85.125,86.5625,83.25,83.25,1006800,66.06399536132811
280,2000-06-12,83.3125,84.3125,81.75,83.3125,732800,66.11358642578125
281,2000-06-13,83.5,85.75,82.625,85.125,773200,67.55193328857422
282,2000-06-14,85.1875,90.375,84.8125,89.9375,1953600,71.37093353271484
283,2000-06-15,89.9375,90.8125,87.0,90.25,2120900,71.61888885498047
284,2000-06-16,90.25,91.4375,87.625,89.9375,1792300,71.37093353271484
285,2000-06-19,90.1875,93.0,89.5,91.625,2092900,72.7100601196289
286,2000-06-20,91.5,93.4375,87.375,89.0,2362600,70.62696838378906
287,2000-06-21,88.0,88.375,84.25,86.625,2875200,68.74224090576172
288,2000-06-22,86.625,86.625,82.0,84.25,1480100,66.85755157470703
289,2000-06-23,85.25,87.0,84.0,86.0,1616700,68.24629211425781
290,2000-06-26,86.75,88.0,85.75,87.75,1175700,69.63504028320311
291,2000-06-27,87.75,89.375,87.625,88.3125,1175700,70.08139038085939
292,2000-06-28,88.0,90.9375,88.0,89.875,1180400,71.32135009765625
293,2000-06-29,90.125,93.125,88.3125,92.625,1385400,73.50363159179688
294,2000-06-30,93.0,95.9375,92.5625,94.78125,2540600,75.21470642089844
295,2000-07-03,94.375,94.9375,93.4375,94.9375,453100,75.33867645263672
296,2000-07-05,94.375,97.0,93.875,95.9375,1077000,76.13227081298828
297,2000-07-06,90.0,94.0,88.375,93.1875,3343100,73.94996643066406
298,2000-07-07,93.1875,95.25,90.9375,94.9375,1265600,75.33867645263672
299,2000-07-10,94.875,98.875,93.8125,97.6875,1498700,77.5210189819336
300,2000-07-11,97.5625,99.1875,97.0625,98.5,1249100,78.1657943725586
301,2000-07-12,100.125,104.25,100.125,101.9375,2751000,80.89364624023438
302,2000-07-13,100.5,104.25,99.5,104.25,2207300,82.72876739501953
303,2000-07-14,104.25,105.25,102.875,104.1875,1143000,82.67914581298828
304,2000-07-17,104.0625,104.125,100.0,100.0,1225000,79.35614776611328
305,2000-07-18,102.0,104.25,101.125,103.875,2449700,82.4311752319336
306,2000-07-19,103.1875,103.5625,100.3125,100.75,874200,79.95130157470703
307,2000-07-20,101.0,104.9375,101.0,103.6875,1027700,82.38050079345703
308,2000-07-21,103.625,105.6875,102.8125,104.25,1155300,82.82740783691406
309,2000-07-24,104.75,106.9375,102.75,105.375,1457700,83.7212142944336
310,2000-07-25,105.75,106.75,103.6875,106.0,1092500,84.21781158447266
311,2000-07-26,105.625,105.9375,102.75,105.9375,1247400,84.16815185546875
